Ace,Value,Dealer,Hit,Stay
1,9,2,-0.211,0.289
1,9,3,-0.162,0.385
1,9,4,-0.157,0.373
1,9,5,-0.188,0.401
1,9,6,-0.159,0.419
1,9,7,-0.232,0.45
1,9,8,-0.302,0.412
1,9,9,-0.284,0.456
1,9,10,-0.308,0.48
1,9,11,-0.298,0.427
1,11,2,-0.415,-0.438
1,11,3,-0.387,-0.552
1,11,4,-0.372,-0.341
1,11,5,-0.335,-0.438
1,11,6,-0.386,-0.317
1,11,7,-0.428,-0.734
1,11,8,-0.467,-0.581
1,11,9,-0.456,-0.613
1,11,10,-0.483,-0.78
1,11,11,-0.458,-0.674
1,12,2,-0.416,-0.491
1,12,3,-0.485,-0.583
1,12,4,-0.397,-0.461
1,12,5,-0.411,-0.188
1,12,6,-0.386,-0.397
1,12,7,-0.459,-0.647
1,12,8,-0.531,-0.906
1,12,9,-0.48,-0.669
1,12,10,-0.481,-0.83
1,12,11,-0.507,-0.828
1,13,2,-0.475,-0.321
1,13,3,-0.455,-0.322
1,13,4,-0.462,-0.508
1,13,5,-0.48,-0.471
1,13,6,-0.455,-0.334
1,13,7,-0.489,-0.511
1,13,8,-0.411,-0.929
1,13,9,-0.533,-0.84
1,13,10,-0.507,-0.777
1,13,11,-0.5,-0.479
1,14,2,-0.507,-0.456
1,14,3,-0.477,-0.505
1,14,4,-0.535,-0.285
1,14,5,-0.467,-0.126
1,14,6,-0.536,-0.416
1,14,7,-0.486,-0.689
1,14,8,-0.479,-0.587
1,14,9,-0.483,-0.751
1,14,10,-0.517,-0.793
1,14,11,-0.515,-0.713
1,15,2,-0.514,-0.638
1,15,3,-0.542,-0.614
1,15,4,-0.502,-0.251
1,15,5,-0.537,-0.416
1,15,6,-0.448,-0.325
1,15,7,-0.518,-0.788
1,15,8,-0.518,-0.809
1,15,9,-0.521,-0.803
1,15,10,-0.519,-0.843
1,15,11,-0.504,-0.851
1,16,2,-0.551,-0.442
1,16,3,-0.559,-0.112
1,16,4,-0.568,-0.171
1,16,5,-0.561,-0.24
1,16,6,-0.509,-0.148
1,16,7,-0.528,0.001
1,16,8,-0.511,-0.631
1,16,9,-0.503,-0.664
1,16,10,-0.538,-0.57
1,16,11,-0.522,-0.374
1,17,2,-0.569,-0.018
1,17,3,-0.548,-0.106
1,17,4,-0.51,-0.081
1,17,5,-0.532,0.003
1,17,6,-0.583,0.019
1,17,7,-0.574,0.051
1,17,8,-0.572,0.206
1,17,9,-0.577,-0.331
1,17,10,-0.564,-0.4
1,17,11,-0.548,-0.079
1,18,2,-0.608,0.034
1,18,3,-0.528,0.145
1,18,4,-0.536,0.241
1,18,5,-0.529,0.234
1,18,6,-0.616,0.339
1,18,7,-0.593,0.201
1,18,8,-0.608,0.404
1,18,9,-0.589,0.263
1,18,10,-0.585,-0.217
1,18,11,-0.546,0.19
1,19,2,-0.62,0.475
1,19,3,-0.59,0.488
1,19,4,-0.647,0.361
1,19,5,-0.621,0.42
1,19,6,-0.576,0.376
1,19,7,-0.617,0.457
1,19,8,-0.582,0.208
1,19,9,-0.579,0.279
1,19,10,-0.586,0.48
1,19,11,-0.664,0.392
2,0,2,0.025,-0.466
2,0,3,-0.166,-0.443
2,0,4,-0.125,-0.362
2,0,5,-0.132,-0.48
2,0,6,-0.152,-0.553
2,0,7,-0.071,-0.682
2,0,8,-0.299,-0.825
2,0,9,-0.228,-0.682
2,0,10,-0.203,-0.736
2,0,11,-0.151,-0.814
2,2,2,-0.051,-0.322
2,2,3,-0.214,-0.947
2,2,4,0.03,-0.26
2,2,5,-0.079,-0.715
2,2,6,0.027,0.116
2,2,7,-0.129,-0.637
2,2,8,-0.207,-0.829
2,2,9,-0.104,-0.816
2,2,10,-0.084,-0.679
2,2,11,-0.087,-0.711
2,3,2,-0.175,-0.345
2,3,3,-0.05,-0.654
2,3,4,-0.205,0.059
2,3,5,-0.172,-0.748
2,3,6,-0.101,-0.751
2,3,7,-0.055,-0.764
2,3,8,-0.194,-0.224
2,3,9,-0.039,-0.744
2,3,10,-0.208,-0.741
2,3,11,0.222,-0.57
2,4,2,-0.045,-0.335
2,4,3,0.013,-0.116
2,4,4,-0.014,0.058
2,4,5,-0.179,-0.127
2,4,6,0.053,-0.385
2,4,7,-0.259,-0.619
2,4,8,-0.153,-0.618
2,4,9,-0.018,-0.749
2,4,10,-0.348,-0.875
2,4,11,0.0,0.127
2,5,2,-0.306,0.518
2,5,3,-0.236,-0.454
2,5,4,-0.13,-0.118
2,5,5,-0.253,0.104
2,5,6,-0.085,-0.064
2,5,7,-0.039,0.09
2,5,8,-0.282,-0.765
2,5,9,-0.2,-0.389
2,5,10,-0.209,-0.461
2,5,11,-0.095,0.827
2,6,2,0.009,0.113
2,6,3,-0.209,-0.35
2,6,4,-0.17,0.007
2,6,5,-0.191,0.28
2,6,6,0.124,-0.103
2,6,7,-0.154,0.135
2,6,8,-0.223,-0.46
2,6,9,-0.252,0.253
2,6,10,-0.293,-0.253
2,6,11,-0.03,0.253
2,7,2,-0.318,0.021
2,7,3,-0.233,-0.072
2,7,4,-0.099,-0.214
2,7,5,-0.213,0.054
2,7,6,-0.086,0.107
2,7,7,-0.068,0.387
2,7,8,-0.083,0.526
2,7,9,-0.189,0.197
2,7,10,-0.222,0.198
2,7,11,0.0,-0.003
2,8,2,-0.234,-0.038
2,8,3,-0.206,0.225
2,8,4,-0.366,0.129
2,8,5,-0.385,0.444
2,8,6,-0.182,0.371
2,8,7,-0.227,0.541
2,8,8,-0.33,0.503
2,8,9,-0.15,0.358
2,8,10,-0.131,0.605
2,8,11,-0.159,0.089
2,10,2,-0.245,-0.39
2,10,3,-0.286,-0.769
2,10,4,-0.19,-0.913
2,10,5,-0.517,-0.543
2,10,6,-0.397,-0.536
2,10,7,-0.4,-0.351
2,10,8,-0.535,-0.712
2,10,9,-0.106,-0.908
2,10,10,-0.357,-0.763
2,10,11,-0.444,-1.142
2,11,2,-0.554,-0.903
2,11,3,-0.663,-0.54
2,11,4,-0.023,-0.242
2,11,5,-0.31,0.138
2,11,6,-0.217,-0.464
2,11,7,-0.278,-0.233
2,11,8,-0.534,-0.156
2,11,9,-0.087,-1.04
2,11,10,-0.61,-0.463
2,11,11,-0.347,0.0
2,12,2,-0.471,-0.231
2,12,3,-0.519,-0.366
2,12,4,-0.423,-0.135
2,12,5,-0.303,-0.897
2,12,6,-0.321,-0.182
2,12,7,-0.472,-0.142
2,12,8,-0.459,-0.891
2,12,9,-0.486,-0.1
2,12,10,-0.427,-0.547
2,12,11,-0.725,-0.998
2,13,2,-0.391,-0.227
2,13,3,-0.301,-0.298
2,13,4,-0.53,-0.107
2,13,5,-0.699,-0.469
2,13,6,-0.456,-0.431
2,13,7,-0.439,-0.565
2,13,8,-0.349,-0.251
2,13,9,-0.292,-0.428
2,13,10,-0.535,-0.907
2,13,11,-0.032,-0.407
2,14,2,-0.583,-0.115
2,14,3,-0.575,-0.007
2,14,4,-0.413,-0.07
2,14,5,-0.294,-0.552
2,14,6,-0.31,-0.296
