policy,left_arm,right_arm,rewards
EpsilonGreedy,0.9,0.5,87.6
UCB,0.9,0.5,90.2
ThompsonSampling,0.9,0.5,89.0
Greedy,0.9,0.6,90.2
EpsilonGreedy,0.9,0.6,87.2
UCB,0.9,0.6,89.2
ThompsonSampling,0.9,0.6,86.8
Greedy,0.9,0.7,91.4
EpsilonGreedy,0.9,0.7,89.6
UCB,0.9,0.7,88.2
ThompsonSampling,0.9,0.7,88.0
Greedy,0.9,0.8,90.8
EpsilonGreedy,0.9,0.8,89.4
UCB,0.9,0.8,87.4
ThompsonSampling,0.9,0.8,89.8
Greedy,0.9,0.9,89.8
EpsilonGreedy,0.9,0.9,89.2
UCB,0.9,0.9,91.2
ThompsonSampling,0.9,0.9,91.0
