Ace,Value,Dealer,Hit,Stay
1,12,6,-0.406,0.2
1,12,7,-0.368,-0.576
1,12,8,-0.487,-0.162
1,12,9,-0.278,-0.627
1,12,10,-0.442,-0.953
1,12,11,-0.375,-0.458
1,13,2,-0.592,-0.2
1,13,3,-0.616,-0.458
1,13,4,-0.355,-0.148
1,13,5,-0.529,-0.039
1,13,6,-0.487,-0.381
1,13,7,-0.632,-0.854
1,13,8,-0.502,-0.17
1,13,9,-0.64,-0.593
1,13,10,-0.512,-0.545
1,13,11,-0.424,-0.648
1,14,2,-0.449,-0.0
1,14,3,-0.616,-0.549
1,14,4,-0.504,-0.807
1,14,5,-0.496,-0.371
1,14,6,-0.557,-0.782
1,14,7,-0.537,-0.442
1,14,8,-0.513,-0.479
1,14,9,-0.618,-1.093
1,14,10,-0.415,-0.598
1,14,11,-0.39,-0.595
1,15,2,-0.478,0.176
1,15,3,-0.458,-0.453
1,15,4,-0.623,-0.828
1,15,5,-0.391,-0.043
1,15,6,-0.461,-0.492
1,15,7,-0.667,-0.698
1,15,8,-0.714,-0.897
1,15,9,-0.615,-0.534
1,15,10,-0.56,-0.717
1,15,11,-0.243,-0.448
1,16,2,-0.212,-0.434
1,16,3,-0.512,-0.5
1,16,4,-0.444,-0.687
1,16,5,-0.659,-0.274
1,16,6,-0.57,-0.354
1,16,7,-0.494,-0.355
1,16,8,-0.556,-0.483
1,16,9,-0.253,-0.763
1,16,10,-0.621,-0.501
1,16,11,-0.507,-0.628
1,17,2,-0.616,-0.409
1,17,3,-0.49,-0.317
1,17,4,-0.386,0.012
1,17,5,-0.425,-0.157
1,17,6,-0.611,0.128
1,17,7,-0.47,0.183
1,17,8,-0.459,-0.167
1,17,9,-0.629,-0.436
1,17,10,-0.55,-0.484
1,17,11,-0.661,0.04
1,18,2,-0.554,0.37
1,18,3,-0.542,0.137
1,18,4,-0.582,-0.286
1,18,5,-0.646,-0.136
1,18,6,-0.557,0.199
1,18,7,-0.643,0.293
1,18,8,-0.589,0.464
1,18,9,-0.5,-0.233
1,18,10,-0.575,0.043
1,18,11,-0.678,0.264
1,19,2,-0.459,0.283
1,19,3,-0.525,0.001
1,19,4,-0.677,-0.009
1,19,5,-0.685,0.438
1,19,6,-0.662,0.401
1,19,7,-0.462,0.247
1,19,8,-0.738,0.337
1,19,9,-0.693,0.276
1,19,10,-0.654,0.162
1,19,11,-0.611,0.534
2,0,2,0.006,-0.827
2,0,3,-0.156,-0.203
2,0,4,-0.433,-0.011
2,0,5,-0.194,-0.669
2,0,6,-0.152,-0.313
2,0,7,-0.091,-0.21
2,0,8,0.214,-0.72
2,0,9,-0.003,-0.251
2,0,10,-0.124,-0.712
2,0,11,0.0,-0.774
2,2,2,0.0,-0.717
2,2,3,0.097,-0.744
2,2,4,0.0,0.261
2,2,5,0.0,0.264
2,2,6,-0.049,-0.811
2,2,7,0.0,-0.682
2,2,8,0.0,0.274
2,2,9,0.577,-0.476
2,2,10,-0.058,-0.618
2,2,11,0.0,-0.719
2,3,2,0.0,0.555
2,3,3,0.0,0.0
2,3,4,0.244,-0.23
2,3,5,0.0,-0.683
2,3,6,0.343,-0.95
2,3,7,-0.733,-0.448
2,3,8,0.0,-0.258
2,3,9,0.0,-0.52
2,3,10,-0.264,-0.713
2,3,11,0.366,0.0
2,4,2,0.265,0.0
2,4,3,-0.173,-0.435
2,4,5,0.0,-0.45
2,4,8,0.0,0.072
2,4,9,0.0,0.069
2,4,10,-0.379,-0.984
2,5,2,0.187,0.195
2,5,3,0.0,0.262
2,5,4,-0.139,0.173
2,5,5,0.0,-0.69
2,5,6,0.0,0.54
2,5,7,0.0,-0.189
2,5,8,0.0,0.375
2,5,9,-0.25,-0.045
2,5,10,-0.311,-0.214
2,6,2,0.0,0.275
2,6,4,0.0,-0.828
2,6,5,0.0,-0.753
2,6,6,0.063,0.0
2,6,7,0.0,-0.336
2,6,8,-0.057,0.0
2,6,9,0.0,0.482
2,6,10,-0.204,-0.276
2,6,11,0.0,-0.404
2,7,2,0.0,0.195
2,7,3,0.0,0.384
2,7,4,0.0,-0.108
2,7,6,0.0,0.0
2,7,7,0.0,-1.009
2,7,8,0.0,0.496
2,7,9,0.118,-0.1
2,7,10,-0.164,-0.136
2,7,11,0.0,0.198
2,8,2,0.0,0.417
2,8,3,0.0,-0.772
2,8,4,0.022,0.381
2,8,5,0.0,0.603
2,8,6,0.0,-0.24
2,8,7,-0.812,0.179
2,8,8,0.0,-0.008
2,8,9,-0.414,0.0
2,8,10,-0.211,0.052
2,8,11,0.07,-0.005
2,10,2,0.132,-0.74
2,10,3,0.0,-0.383
2,10,4,-0.821,-1.141
2,10,5,0.0,-0.401
2,10,6,-0.468,-0.193
2,10,7,-0.409,-0.912
2,10,8,0.0,0.205
2,10,9,-0.024,-0.795
2,10,10,-0.315,-0.79
2,11,2,-0.769,0.0
2,11,3,0.0,0.503
2,11,6,0.0,-1.036
2,11,7,-0.909,0.0
2,11,8,-0.814,-0.766
2,11,9,-0.281,-0.768
2,11,10,-0.252,-0.761
2,12,2,-0.709,0.0
2,12,3,0.103,-0.908
2,12,4,-0.754,-0.225
2,12,5,0.0,0.459
2,12,6,0.0,-0.259
2,12,7,-0.971,-0.513
2,12,8,0.0,-0.727
2,12,9,-0.891,-1.113
2,12,10,-0.297,-0.209
2,13,2,0.0,-0.149
2,13,3,-0.795,0.364
2,13,4,0.0,0.365
2,13,6,0.0,-0.845
2,13,7,-0.348,0.0
2,13,8,0.308,0.0
2,13,9,-0.744,-0.536
2,13,10,-0.53,-0.467
2,13,11,0.0,0.0
2,14,2,0.0,0.317
2,14,3,0.0,0.414
2,14,4,0.259,-0.56
2,14,5,-0.426,0.34
2,14,7,0.0,-0.538
2,14,9,0.0,0.093
2,14,10,-0.535,-0.541
2,15,2,-0.5,0.216
2,15,3,0.223,-0.803
2,15,4,-0.641,-0.772
2,15,5,-0.569,0.231
2,15,6,-0.761,-0.68
2,15,7,0.0,-0.572
2,15,8,-0.327,0.0
2,15,9,-0.76,0.0
2,15,10,-0.692,-1.068
2,16,2,-0.525,0.0
2,16,3,-0.89,0.225
2,16,4,-0.305,0.0
2,16,6,0.52,-0.212
2,16,7,0.0,0.125
2,16,8,-0.621,0.196
2,16,9,-0.714,0.0
2,16,10,-0.337,0.327
2,17,3,-0.625,0.278
2,17,4,0.351,-0.435
2,17,5,-0.752,-0.041
